PlayerProfil,ImgCurrentClub,ImgInterestedClub,PlayerName,ImgPlayer,MarketValue,CurrentTeam,InterestedClub,RumourCreated
https://www.transfermarkt.com/danny-armstrong-to-heart-of-midlothian-fc-/thread/forum/343/thread_id/20295,https://tmssl.akamaized.net//images/wappen/medium/2553.png?lm=1568027450,https://tmssl.akamaized.net//images/wappen/medium/43.png?lm=1522182618,Danny Armstrong,https://img.a.transfermarkt.technology/portrait/medium/225236-1702306128.jpg?lm=1,800k,Kilmarnock FC,Heart of Midl.,22.05.2025 - 13:47
https://www.transfermarkt.com/nick-suman-to-dundee-united-fc-/thread/forum/343/thread_id/20294,https://tmssl.akamaized.net//images/wappen/medium/8933.png?lm=1475498486,https://tmssl.akamaized.net//images/wappen/medium/1519.png?lm=1658408113,Nick Suman,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,-,Cove Rangers,Dundee United,22.05.2025 - 13:45
https://www.transfermarkt.com/nick-suman-to-motherwell-fc-/thread/forum/343/thread_id/20293,https://tmssl.akamaized.net//images/wappen/medium/8933.png?lm=1475498486,https://tmssl.akamaized.net//images/wappen/medium/987.png?lm=1632586564,Nick Suman,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,-,Cove Rangers,Motherwell FC,22.05.2025 - 13:45
https://www.transfermarkt.com/nick-suman-to-aberdeen-fc-/thread/forum/343/thread_id/20292,https://tmssl.akamaized.net//images/wappen/medium/8933.png?lm=1475498486,https://tmssl.akamaized.net//images/wappen/medium/370.png?lm=1409146897,Nick Suman,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,-,Cove Rangers,Aberdeen FC,22.05.2025 - 13:44
https://www.transfermarkt.com/o-kossounou-to-atalanta-bc-/thread/forum/343/thread_id/20266,https://tmssl.akamaized.net//images/wappen/medium/15.png?lm=1710156317,https://tmssl.akamaized.net//images/wappen/medium/800.png?lm=1438547428,Odilon Kossounou,https://img.a.transfermarkt.technology/portrait/medium/644771-1730183693.jpg?lm=1,25.00m,B. Leverkusen,Atalanta BC,22.05.2025 - 11:03
https://www.transfermarkt.com/aaron-arnott-to-kelty-hearts-fc-/thread/forum/343/thread_id/20291,https://tmssl.akamaized.net//images/wappen/medium/20603.png?lm=1697466634,https://tmssl.akamaized.net//images/wappen/medium/3804.png?lm=1552924485,Aaron Arnott,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,-,Bonnyrigg,Kelty Hearts ,22.05.2025 - 13:41
https://www.transfermarkt.com/nico-williams-to-real-madrid-/thread/forum/343/thread_id/20232,https://tmssl.akamaized.net//images/wappen/medium/621.png?lm=1695069038,https://tmssl.akamaized.net//images/wappen/medium/418.png?lm=1729684474,Nico Williams,https://img.a.transfermarkt.technology/portrait/medium/709187-1709676169.png?lm=1,70.00m,Athletic,Real Madrid,21.05.2025 - 15:31
https://www.transfermarkt.com/connor-scully-to-formartine-united-fc-/thread/forum/343/thread_id/20290,https://tmssl.akamaized.net//images/wappen/medium/8933.png?lm=1475498486,https://tmssl.akamaized.net//images/wappen/medium/23613.png?lm=1481983933,Connor Scully,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,-,Cove Rangers,Formartine,22.05.2025 - 13:38
https://www.transfermarkt.com/lennon-miller-to-rc-strasbourg-alsace-/thread/forum/343/thread_id/19382,https://tmssl.akamaized.net//images/wappen/medium/987.png?lm=1632586564,https://tmssl.akamaized.net//images/wappen/medium/667.png?lm=1664991833,Lennon Miller,https://img.a.transfermarkt.technology/portrait/medium/924857-1701702197.jpg?lm=1,4.00m,Motherwell FC,R. Strasbourg,25.04.2025 - 14:18
https://www.transfermarkt.com/ryan-ledson-to-hibernian-fc-/thread/forum/343/thread_id/19948,https://tmssl.akamaized.net//images/wappen/medium/466.png?lm=1414769167,https://tmssl.akamaized.net//images/wappen/medium/903.png?lm=1737462058,Ryan Ledson,https://img.a.transfermarkt.technology/portrait/medium/258884-1737884592.jpg?lm=1,1.20m,Preston,Hibernian FC,16.05.2025 - 12:38
https://www.transfermarkt.com/r-sallinger-to-hibernian-fc-/thread/forum/343/thread_id/19879,https://tmssl.akamaized.net//images/wappen/medium/4467.png?lm=1697975944,https://tmssl.akamaized.net//images/wappen/medium/903.png?lm=1737462058,Raphael Sallinger,https://img.a.transfermarkt.technology/portrait/medium/225360-1722941132.jpg?lm=1,600k,TSV Hartberg,Hibernian FC,14.05.2025 - 12:23
https://www.transfermarkt.com/rydnn-mcguire-to-arsenal-fc-/thread/forum/343/thread_id/20289,https://tmssl.akamaized.net//images/wappen/medium/67281.png?lm=1657628093,https://tmssl.akamaized.net//images/wappen/medium/11.png?lm=1489787850,Rydnn McGuire,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,-,Rangers FC U18,Arsenal,22.05.2025 - 13:32
